year,desplazamiento,cilindros,co2,consumo_litros_milla,clase_tipo_Coche Familiar,clase_tipo_Coches Grandes,clase_tipo_Coches Medianos,clase_tipo_Coches pequeños,clase_tipo_Deportivos,clase_tipo_Furgoneta,clase_tipo_Vehículos Especiales,traccion_tipo_dos,transmision_tipo_Manual,combustible_tipo_Otros tipos de combustible,combustible_tipo_Premium,tamano_motor_tipo_mediano,tamano_motor_tipo_muy grande,tamano_motor_tipo_muy pequeño,tamano_motor_tipo_pequeño,consumo_tipo_bajo,consumo_tipo_moderado,consumo_tipo_muy alto,consumo_tipo_muy bajo,co2_tipo_bajo,co2_tipo_moderado,co2_tipo_muy alto,co2_tipo_muy bajo
-1.6431980376609285,-0.5693810384871368,-1.030553968616535,0.5203886604594182,0.5198102007868627,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-1.6431980376609285,0.7742128253627609,0.26124974975696885,1.993807903737264,1.9885477212709017,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
-1.5459420398587984,-0.5693810384871368,-1.030553968616535,0.8196769442502306,0.8181475096351838,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-1.5459420398587984,0.7742128253627609,0.26124974975696885,1.993807903737264,1.9885477212709017,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
-1.351430044254538,0.4580730926921965,0.26124974975696885,0.8196769442502306,0.8181475096351838,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.37887006623323555,-0.8064858379900598,-1.030553968616535,-0.5679323715071721,-0.5650527404797562,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
-0.37887006623323555,-0.8064858379900598,-1.030553968616535,-0.8762899972310386,-0.8724305738386328,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
-0.37887006623323555,-0.17420637264893163,0.26124974975696885,-0.1979032206385311,-0.19619934044910506,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
-0.2816140684311053,-0.727450904822419,-1.030553968616535,-0.5679323715071721,-0.5650527404797562,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
-0.2816140684311053,-0.727450904822419,-1.030553968616535,-0.8762899972310386,-0.8724305738386328,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
-0.2816140684311053,-0.17420637264893163,0.26124974975696885,-0.1979032206385311,-0.19619934044910506,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
-0.18435807062897508,-0.727450904822419,-1.030553968616535,-0.5679323715071721,-0.5650527404797562,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
-0.18435807062897508,-0.727450904822419,-1.030553968616535,-0.8762899972310386,-0.8724305738386328,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
-0.18435807062897508,-0.17420637264893163,0.26124974975696885,-0.1979032206385311,-0.19619934044910506,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
-0.573382061837496,-0.5693810384871368,-0.38465210942978306,-0.1979032206385311,-0.19619934044910506,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
-0.4761260640353658,-0.5693810384871368,-0.38465210942978306,-0.1979032206385311,-0.19619934044910506,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
-0.4761260640353658,-0.016136506313649417,0.26124974975696885,0.016324182495945087,0.017347364831797885,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
-0.37887006623323555,-0.5693810384871368,-0.38465210942978306,-0.1979032206385311,-0.19619934044910506,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
-0.37887006623323555,-0.016136506313649417,0.26124974975696885,0.016324182495945087,0.017347364831797885,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
-0.2816140684311053,-0.5693810384871368,-0.38465210942978306,-0.1979032206385311,-0.19619934044910506,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
-0.2816140684311053,-0.016136506313649417,0.26124974975696885,0.016324182495945087,0.017347364831797885,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
0.010153924975285375,-0.016136506313649417,0.26124974975696885,-0.1979032206385311,-0.19619934044910506,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
0.10740992277741561,-0.016136506313649417,0.26124974975696885,-0.39172801395067686,-0.3894082642746851,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
0.20466592057954583,-0.016136506313649417,0.26124974975696885,-0.1979032206385311,-0.19619934044910506,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
0.20466592057954583,-0.016136506313649417,0.26124974975696885,-0.39172801395067686,-0.3894082642746851,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0
-0.18435807062897508,-0.016136506313649417,0.26124974975696885,-0.1979032206385311,-0.19619934044910506,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
