year,desplazamiento,cilindros,co2,consumo_litros_milla,clase_tipo_Coche Familiar,clase_tipo_Coches Grandes,clase_tipo_Coches Medianos,clase_tipo_Coches pequeños,clase_tipo_Deportivos,clase_tipo_Furgoneta,clase_tipo_Vehículos Especiales,traccion_tipo_dos,transmision_tipo_Manual,combustible_tipo_Otros tipos de combustible,combustible_tipo_Premium,tamano_motor_tipo_mediano,tamano_motor_tipo_muy grande,tamano_motor_tipo_muy pequeño,tamano_motor_tipo_pequeño,consumo_tipo_bajo,consumo_tipo_moderado,consumo_tipo_muy alto,consumo_tipo_muy bajo,co2_tipo_bajo,co2_tipo_moderado,co2_tipo_muy alto,co2_tipo_muy bajo,cluster
-0.184358070628975,-0.0161365063136494,0.2612497497569688,-0.1979032206385311,-0.196199340449105,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
-0.0871020728268448,-0.0161365063136494,0.2612497497569688,-0.1979032206385311,-0.196199340449105,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
0.0101539249752853,-0.0161365063136494,0.2612497497569688,-0.1979032206385311,-0.196199340449105,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
0.1074099227774156,-0.0161365063136494,0.2612497497569688,-0.3917280139506768,-0.3894082642746851,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,5
0.2046659205795458,-0.0161365063136494,0.2612497497569688,-0.3917280139506768,-0.3894082642746851,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,5
-0.4761260640353658,0.2209682931892735,0.2612497497569688,0.016324182495945,0.0173473648317978,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
-0.3788700662332355,0.2209682931892735,0.2612497497569688,0.016324182495945,0.0173473648317978,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
-0.2816140684311053,0.2209682931892735,0.2612497497569688,0.016324182495945,0.0173473648317978,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
-0.184358070628975,0.2209682931892735,0.2612497497569688,0.2543546304231407,0.2546214818105773,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
-0.0871020728268448,0.2209682931892735,0.2612497497569688,0.2543546304231407,0.2546214818105773,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
0.0101539249752853,0.2209682931892735,0.2612497497569688,0.2543546304231407,0.2546214818105773,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
0.1074099227774156,0.2209682931892735,0.2612497497569688,0.2543546304231407,0.2546214818105773,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
0.2046659205795458,0.2209682931892735,0.2612497497569688,0.2543546304231407,0.2546214818105773,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
0.3019219183816761,0.2209682931892735,0.2612497497569688,0.2543546304231407,0.2546214818105773,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0
1.177225898600848,-0.964555704325342,-1.030553968616535,-1.3186497778491988,-1.2481145923883692,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1
1.177225898600848,-0.6484159716547779,-1.030553968616535,-0.96140322508078,-1.0076768205165365,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
1.2744818964029785,-0.964555704325342,-1.030553968616535,-1.3186497778491988,-1.2481145923883692,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1
1.2744818964029785,-0.6484159716547779,-1.030553968616535,-0.96140322508078,-1.0076768205165365,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
1.3717378942051086,-0.964555704325342,-1.030553968616535,-1.327809945868902,-1.355452883402578,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1
1.3717378942051086,-0.6484159716547779,-1.030553968616535,-1.0621650732975136,-1.0076768205165365,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
1.468993892007239,-0.6484159716547779,-1.030553968616535,-1.4377319621053384,-1.4553885336571883,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
1.566249889809369,-0.6484159716547779,-1.030553968616535,-1.4377319621053384,-1.4553885336571883,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
1.177225898600848,-1.359730370163547,-1.030553968616535,-2.179705571701285,-2.1181196879772326,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1
